dcydcy1992,招远,画面特效很不错、剧情也还可以、就是这海王在万众期待下 塑造的有点弱鸡啊、海王要是很强的话、那这个电影看的感觉就完全不一样了、就不会有点乏味了、肯定热血澎湃啊。 希望能把这个角色能力加强，这样才有意思，我不希望外形这么强悍的超级英雄这么弱。,42018-12-11 15:47:49
_qq5x61412311657,沈阳,好好好好好 够五个字了吧,52018-12-11 15:47:40
心有独钟,文山,好看好看好看,4.52018-12-11 15:47:38
_qq32x1430564875,大邑,近一年看过的最好看的电影。,4.52018-12-11 15:47:27
NAH18602734939,深圳,第一次深圳看电影，竟然不给眼镜，小哥也不告诉我买不买，裸眼看的，字看的累,4.52018-12-11 15:46:30
清茶845,博罗县,666666666,52018-12-11 15:46:18
剑羽,广州,原来海王也是这么萌的,4.52018-12-11 15:46:01
GbJ653197614,上海,视觉盛宴 很享受 故事虽然老套路 但是不影响观看体验,4.52018-12-11 15:45:56
浪子，走路回家,宜昌,好看啊好看啊,52018-12-11 15:45:46
sya98101,南京,不错挺好看的,52018-12-11 15:45:27
李晓龙,南昌,超级精彩，剧情流畅。比毒液更精彩，好久没看到这么高好看的好莱坞式电影了。,52018-12-11 15:42:27
晓俊,上海,不错真好看电影不错,52018-12-11 15:42:25
ET怪叔叔,怀化,特好看，特效爆炸,52018-12-11 15:41:39
海尔  &  haier,银川,个人感觉非常好看，值得推荐，只可惜是外国大片，,52018-12-11 15:41:19
大橙子5253,通辽,这部影片太赞了，希望你们都去看一下,52018-12-11 15:41:15
doD209384438,贵阳,《当美猴王遇上小美人鱼》鉴于导演是温子仁，受中国文化影响，我有充分理由怀疑海王部分场景设计借鉴了西游记，比如海王老妈住的是花果山，三叉戟藏的地方是水帘洞，三叉戟的正确用法是金箍棒等，海王纹身酷爆(可惜最后的盔甲有点像泰国土豪[捂脸])，女主造型是小美人鱼，整部电影情节紧凑，终于不再讨论正与邪的哲学问题，水下打斗十分精彩，个人认为超过神奇女侠，是DC正义联盟里最好看的一部🧜♂️,52018-12-11 15:41:06
隔壁壮汉一个蝶.,六安,哈哈就看看的密码买买买密码买买买密码买买买,52018-12-11 15:41:00
EfW940128564,惠州,完美，喜欢女王,52018-12-11 15:40:58
Neeson,南京,场面宏达好说好说试试,42018-12-11 15:40:39
MOo754650033,上海,非常好看，两位女主都好美,52018-12-11 15:40:33
HIt18004415067,长春,特效很棒，杰森莫玛傻帅傻帅的，和喜欢的人一起看的，所以不错,42018-12-11 15:40:23
Trista212,钦州,非常好看，值得一看！,52018-12-11 15:40:16
无聊IN,天津,魔幻般的海底世界，不愧是温子仁的作品。必须去电影院观看的大片,4.52018-12-11 15:40:11
Wxw354956809,长沙,不错不你最哦提哦子,4.52018-12-11 15:40:08
Eliezer788,绍兴,公义、慈爱、勇敢,52018-12-11 15:40:00
猫过狗年,上海,电影十分精彩，特效精美情节紧凑，非常期待下一部！,52018-12-11 15:36:51
tzn370299727,天津,看的4D海王。按摩很舒服。一开始超级喜欢湄拉但是后来亚瑟**出来之后。转粉了😄,52018-12-11 15:36:42
BjF782696581,北京,特效很好，故事略有老套，情节设计很紧凑，场面壮观,4.52018-12-11 15:36:16
程曼,北京,赞超级赞，无法用言语形容,52018-12-11 15:36:11
栤栤,齐齐哈尔,好看特别精彩,52018-12-11 15:36:08
qz彼得潘,钦州,故事情节跌宕起伏，打斗场面壮大，武术动作到位，演员演技爆棚，激动中带点幽默，挺喜欢的片子，值得观看！,52018-12-11 15:36:05
小喵仔33,阿拉善盟,好看~~感觉比毒液好看,52018-12-11 15:35:59
wIB144056284,上海,画面震撼，特效很棒，海王拿到三叉戟之后，金色的造型有点丑，期待还有下一部。,4.52018-12-11 15:35:59
小王子不稀罕玫瑰,青岛,除了影院差什么都好😂,52018-12-11 15:35:58
XRan乄李智轩丶You Are My Every,厦门,一直也喜欢看国外的3D大片。 特效效果真的很棒。而且男人主很帅。女主都很美。而且也看到很多大海里没有见过的海洋生物。看3D也算是近距离的看了。哈哈哈。反正总体来说。特别棒。,52018-12-11 15:35:50
GRT165743142,宁波,特效不错，好看,3.52018-12-11 15:35:47
四房两厅送车库,柳州,非常精彩绝伦,52018-12-11 15:35:44
rPi68390367,无锡,人家的神话亚特兰蒂斯，我们的海龙王龙宫，什么时候让世界感受下中国神话力量,02018-12-11 15:35:32
高铭均,无锡,特效场面值票价。海王原来只是一个部族的国王，不是海之王,4.52018-12-11 15:35:11
敏敏,乐清,好看！特效震撼！推荐看！,4.52018-12-11 15:35:02
黄超,无锡,不错的电影，我给评8.5分,42018-12-11 15:31:50
oTq989765720,天津,海王也太好看了叭，妮可基德曼还是女王气质选角真棒，不愧是影后，温子仁建立的世界真大，感觉第二部又要等好几年，女主amber演技很好啊，她以前怎么样我不知道，我只知道中国首映礼她愿意给尽可能多的粉丝签名和他们合影，而不像小罗伯特妮妮那样走个过场，伤了多少漫威粉的心!,52018-12-11 15:31:30
永远超,上海,很好(✪▽✪)看,52018-12-11 15:30:58
婷婷去安帕,绍兴,其他都很赞 就是故事老套了点,4.52018-12-11 15:30:46
喻文州是我哒,天津,海王牛逼！！！！温子仁牛逼！！！！！！！！,52018-12-11 15:30:35
AXB900779336,北京,好看，很过瘾。看完想学潜水了,4.52018-12-11 15:30:24
cpc6669724458,太原,很久没看到这么好的电影了，特效场面只有影院能展示出来，良心电影！,52018-12-11 15:30:20
yüki,中山,海王好帅 好看,4.52018-12-11 15:30:12
Wfz567754314,通辽,很可以呦呦呦,52018-12-11 15:30:12
xfx509640492,藤县,我只想说女主太美了,52018-12-11 15:29:43
🍁杨晨18721762434,上海,特效真的可以，算是水中阿凡达，剧情好莱坞典型爆米花电影套路，不过看多了美国电影，看那些明星像野兽一样的体格，羡慕嫉妒，幻想有一天也能拥有那样的身体,42018-12-11 15:29:16
好吃妹妹,成都,特效不错！适合全家人观看,4.52018-12-11 15:28:58
地狱有路,南京,基本没毛病，还不错哦,4.52018-12-11 15:28:54
开心,大理,DC难得的好片啊，温子仁加油！,3.52018-12-11 15:28:49
开心猪大肠,定西,一个人去看的，选的电影院荧幕太小了 人很少 但所有人都看得特别认真 感觉特效真是很nb,52018-12-11 15:28:44
花、刺痛命脉,锦州,震撼震撼震撼,52018-12-11 15:23:49
lWz285456173,伊犁,衣服丑爆了。。。。,42018-12-11 15:23:48
诚信广西食品总店(免费招代理),南宁,太太太精彩了,52018-12-11 15:23:40
蔡大胖胖,闽侯县,实在太酷了，DC翻身大作！不愧是温子仁,52018-12-11 15:23:15
张张zmx,遵义,经典的漫威风格，,4.52018-12-11 15:23:11
短腿豆丁,珠海,值啊  想看第二次！！！,52018-12-11 15:22:58
暗夜精灵王者,广州,Hhhhjjkkoo,4.52018-12-11 15:22:46
李晓宇,上海,烂就一个字，整部片子除了视觉效果一无是处。情节拖沓莫名其妙，全无高潮，无可恨的是为了看这烂片我他么还掉了一根最喜欢的围巾！气死我了！,0.52018-12-11 15:22:41
等待,常熟,挺不错的，场面震撼,3.52018-12-11 15:22:41
AWz230092712,呼和浩特,好看好看，推荐看,52018-12-11 15:22:29
zhqzgq,桂林,真的好看，震撼，刺激。,52018-12-11 15:22:27
majia2shao,乐清,值回票价 女主角 身材不错,52018-12-11 15:22:26
U向日葵,长春,超好看超好看！故事框架架的很宽，故事在整体框架下还做到了完美！真的不可多得的好电影,52018-12-11 15:22:23
wenzi0714,银川,超好看，别错过！,52018-12-11 15:21:44
kdwpd,抚顺,真的挺好的！,52018-12-11 15:21:38
沈立洋,德清,整体特效不错，充满想像力，故事紧凑不拖拉，节奏快，但是剧情太简单了，一开始就能猜到结果了，希望DC能在剧本上多下点工夫,42018-12-11 15:18:35
铭℡,吉林,真是各种生猛海鲜啊！,4.52018-12-11 15:18:33
NUg393014400,唐山,特别好(✪▽✪),4.52018-12-11 15:18:31
一个理想主义者的完美世界,长春,以前不知道特效两个字怎么写的可以去看看海王了...,4.52018-12-11 15:18:21
Maviki🎈,广州,包场看，非常优秀,52018-12-11 15:18:15
阿阿阿芳,天津,实在是太好看了，中午不吃饭也要必看的影片，太太太太太好看。,52018-12-11 15:18:13
风神无名,无锡,12.10晚上6点40H排9座，看到回复我好吗？,52018-12-11 15:17:39
往后。余生、,辽阳,这部电影相对于DC之前几部，拯救世界的戏码较少，反而更多像是一场家族内斗，谁赢谁老大。8分里4分给女主和妮可基德曼颜值，3分给特效，1分给海王的大腱子肉。剧情什么的感觉和大部分的超级英雄电影都差不多，看电影就图个乐，看看炫酷叼炸天的特效，总体来讲值得一看。,42018-12-11 15:17:32
无法形容的外星人,九江,特效还是很不错的，剧情感觉略有差强人意,4.52018-12-11 15:17:30
